x,PBS,COC,10PBS/90COC,20PBS/70COC,30PBS/70COC,40PBS/60COC
"1469,98","11,044","22,543","39,176","53,962","69,284","83,766"
"1471,31","10,79","22,626","39,291","53,913","69,415","84,085"
"1473,36","10,288","22,832","39,501","53,994","69,66","84,621"
"1475,41","9,674","23,166","39,756","54,355","69,965","85,204"
"1475,61","9,614","23,207","39,783","54,411","69,998","85,263"
"1478,11","9,453","23,873","40,165","55,462","70,47","86,02"
"1482,99","14,859","26,011","41,145","58,346","71,636","87,466"
"1492,39","17,52","31,585","44,225","62,249","74,099","89,678"
"1493,85","17,697","32,154","44,899","62,653","74,429","89,949"
"1496,01","17,911","32,753","45,951","63,177","74,876","90,317"
"1502,05","18,317","33,452","47,607","64,289","75,882","91,174"
"1504,1","18,414","33,514","47,886","64,571","76,148","91,414"
"1507,88","18,571","33,603","48,272","65,003","76,558","91,802"
"1512,3","18,741","33,858","48,611","65,397","76,936","92,173"
"1514,34","18,819","34,002","48,744","65,549","77,082","92,32"
"1518,78","18,991","34,292","48,998","65,825","77,348","92,594"
"1534,99","19,585","34,965","49,712","66,4","77,879","93,239"
"1565,57","19,758","35,495","50,506","66,424","77,587","93,522"
"1567,57","19,688","35,52","50,533","66,395","77,516","93,505"
"1573,77","19,37","35,595","50,586","66,289","77,256","93,419"
"1579,92","18,92","35,666","50,583","66,158","76,945","93,274"
"1584,02","18,558","35,712","50,537","66,048","76,712","93,131"
"1608,23","16,315",36,"49,345","64,378","75,148","90,575"
"1609,86","16,238","36,021","49,277","64,198","75,049","90,455"
"1610,66","16,208","36,031","49,252","64,11","75,002","90,405"
"1612,7","16,15","36,058","49,219","63,878","74,887","90,299"
"1614,75","16,119","36,086","49,229","63,642","74,783","90,215"
"1618,85","16,13","36,142","49,318","63,165","74,62","90,082"
"1635,88","16,44","36,378","49,402","61,126","74,904","89,659"
"1645,49","15,364","36,5","48,82","59,947","74,779","89,318"
"1649,59","14,669","36,546","48,416","59,439","74,441","89,111"
"1652,14","14,341","36,572","48,12","59,121","74,174","88,952"
"1657,79","14,036","36,621","47,37","58,413","73,483","88,48"
"1666,78","13,513","36,667","45,989","57,273","72,207","87,116"
"1678,28","10,309","36,627","44,053","55,786","70,442","83,8"
"1679,79","10,078","36,61","43,792","55,588","70,207","83,324"
"1682,38","9,761","36,57","43,346","55,249","69,809","82,629"
"1684,73","9,527","36,522","42,939","54,943","69,45","82,156"
"1706,97","8,428","35,313","39,439","52,719","67,468","80,633"
"1707,44","8,423","35,278","39,378","52,692","67,459","80,613"
"1709,02","8,422","35,167","39,183","52,612","67,438","80,544"
"1717,2","8,741","34,759","38,363","52,381","67,509","80,168"
"1720,88","8,699","34,703","38,118","52,372","67,623","80,018"
"1735,66","8,508","35,035","38,163","52,842","68,444","79,801"
"1745,9","8,561","35,47","39,437","53,539","69,246","80,221"
"1751,36","8,739","35,713","40,563","54,003","69,718","80,706"
"1752,05","8,775","35,743","40,723","54,066","69,779","80,782"
"1767,62","11,727","36,356","44,532","55,631","71,227","83,287"
"1771,22","13,241","36,467","45,271","56,026","71,574","84,02"
"1775,75","13,571","36,584","46,038","56,534","72,012","84,986"
"1776,64","13,622","36,604","46,166","56,635","72,099","85,179"
"1793,03","14,443","36,837","47,571","58,562","73,692","88,473"
"1813,52","15,886","36,898","48,453","61,047","75,614","88,552"
"1814,79","16,049","36,898","48,522","61,2","75,727","88,655"
"1815,57","16,168","36,897","48,568","61,295","75,797","88,736"
"1834,3","19,419","36,866","50,008","63,514","77,338","91,723"
"1844,26","19,692","36,842","50,683","64,623","78,013","92,957"
"1846,31","19,727","36,837","50,797","64,84","78,133","93,13"
"1855,13","19,837","36,815","51,193","65,72","78,562","93,596"
"1858,61","19,866","36,808","51,31","66,033","78,688","93,677"
"1860,66","19,881","36,803","51,37","66,206","78,75","93,702"
"1879,1","19,958","36,764","51,686","67,252","78,876","93,276"
"1893,44","19,988","36,734","51,758","67,09","78,369","92,634"
"1903,69","20,02","36,711","51,748","66,031","77,752","93,08"
"1905,74","20,03","36,706","51,741","65,872","77,649","93,165"
"1909,12","20,051","36,698","51,725","65,934","77,577","93,293"
"1932,38","20,444","36,634","51,499","66,52","78,85","93,754"
"1940,57","20,589","36,606","51,365","66,611","78,958","93,766"
"1948,77","20,664","36,575","51,196","66,669","78,983","93,733"
"1957,91","20,684","36,533","50,971","66,706","78,958","93,662"
"1988,1","20,537","36,304","50,321","66,718","78,696","93,318"
"2002,05","20,429","35,99","50,184","66,695","78,546","93,189"
"2004,1","20,413","35,888","50,171","66,691","78,525","93,18"
"2006,15","20,396","35,732","50,16","66,687","78,506","93,174"
"2016,5","20,31","35,242","50,124","66,662","78,423","93,223"
"2032,79","20,175","35,211","50,11","66,616","78,341","93,428"
"2053,28","20,022","35,282","50,127","66,555","78,202","93,031"
"2060,38","19,979","35,315","50,136","66,534","78,129","92,919"
"2067,62","19,946","35,351","50,145","66,513","78,049","92,865"
"2097,82","19,982","35,49","50,159","66,439","77,746","93,178"
"2104,51","20,045","35,508","50,148","66,429","77,698","93,264"
"2114,05","20,167","35,509","50,116","66,419","77,65","93,057"
"2118,85","20,229","35,493","50,089","66,418","77,636","93,103"
"2120,9","20,255","35,48","50,074","66,418","77,633","93,131"
2125,"20,306","35,441","50,036","66,42","77,631","93,195"
"2129,1","20,359","35,374","49,986","66,424","77,637","93,264"
"2135,26","20,446","35,185","49,885","66,436","77,662","93,371"
"2144,95","20,611","34,771","49,642","66,467","77,738","93,537"
"2155,91","20,827","34,528","49,264","66,525","77,867","93,71"
"2165,98","21,011","34,524","49,11","66,602","78,009","93,843"
"2186,48","21,235","34,726","49,464","66,84","78,309","93,98"
"2188,87","21,244","34,755","49,525","66,874","78,342","93,976"
"2190,77","21,249","34,778","49,574","66,902","78,367","93,969"
"2204,92","21,214","34,931","49,945","67,056","78,534","93,793"
"2211,07","21,173","34,965","50,069","67,004","78,594","93,656"
"2215,3","21,14","34,929","50,073","66,913","78,632","93,549"
"2229,5","21,008","34,524","49,552","66,602","78,732","93,337"
"2229,51","21,008","34,524","49,552","66,601","78,732","93,337"
"2233,61","20,968","34,524","49,507","66,55","78,756","93,431"
"2245,9","20,844","34,555","49,472","66,493","78,811","93,922"
"2263,68","20,668","34,616","49,502","66,562","78,853","94,275"
"2274,59","20,565","34,647","49,529","66,639","78,856","94,296"
"2303,08","20,311","34,621","49,543","66,863","78,76","94,018"
"2311,48","20,241","34,535","49,503","66,92","78,69","93,896"
"2319,67","20,174","34,383","49,419","66,962","78,589","93,768"
"2334,02","20,062","34,008","49,161","66,969","78,28","93,535"
"2344,39","19,987","33,862","48,95","66,834","77,937","93,364"
"2368,85","19,833","33,962","48,703","65,926","77,396","92,99"
"2372,95","19,813",34,"48,698","65,899","77,384","92,937"
2375,"19,803","34,02","48,699","65,895","77,384","92,912"
"2381,15","19,779","34,081","48,71","65,908","77,403","92,848"
"2384,04","19,771","34,11","48,719","65,923","77,419","92,825"
"2411,51","20,123","34,363","48,875","66,211","77,68","92,966"
"2419,82","20,405","34,421","48,934","66,325","77,775","93,18"
"2434,43","20,685","34,495","49,04","66,534","77,942","93,567"
"2436,48","20,715","34,503","49,054","66,563","77,965","93,608"
"2482,51","21,049","34,309","49,255","66,99","78,393","94,003"
"2483,61","21,049","34,278","49,253","66,99","78,401","94,003"
"2491,38","21,037","33,514","49,222","66,978","78,448","93,989"
"2495,42","21,021","33,248","49,19","66,963","78,469","93,967"
"2495,9","21,019","33,245","49,185","66,961","78,472","93,964"
"2502,05","20,98","33,281","49,109","66,926","78,499","93,899"
"2524,59","20,748","33,509","48,405","66,742","78,548","93,241"
"2534,84","20,629","33,46","47,808","66,652","78,547","93,069"
"2538,02","20,594","33,397","47,62","66,624","78,544","93,041"
"2566,42","20,402","31,326","46,45","66,43","78,465","93,077"
"2569,45","20,397","31,184","46,375","66,417","78,451","93,101"
"2575,82","20,397","31,043","46,24","66,396","78,418","93,158"
"2577,87","20,4","31,014","46,203","66,391","78,406","93,179"
"2605,15","20,502","30,314","45,833","66,395","78,204","93,498"
"2639,34","20,651","28,761","45,147","66,447","77,77","93,801"
"2645,49","20,656","28,494","44,917","66,437","77,645","93,81"
"2653,69","20,631","28,167","44,507","66,391","77,407","93,772"
"2657,79","20,597","28,02","44,259","66,345","77,22","93,715"
"2658,91","20,583","27,982","44,187","66,329","77,151","93,692"
"2668,03","20,36","27,72","43,558","66,119","76,727","93,324"
"2676,23","19,519","27,58","43,031","65,768","76,701","91,951"
"2676,8","19,247","27,575","43,001","65,738","76,701","91,95"
"2680,33","19,443","27,561","42,842","65,589","76,711","92,286"
"2683,89","19,65","27,584","42,748","65,596","76,726","92,57"
"2688,52","19,85","27,685","42,752","65,727","76,753","92,839"
"2699,57","20,136","28,293","43,273","66,043","76,839","93,207"
"2700,82","20,157","28,391","43,355","66,075","76,85","93,232"
"2711,07","20,274","29,247","43,995","66,308","76,953","93,357"
"2731,56","20,345","29,505","44,44","66,646","77,205","93,375"
"2731,66","20,345","29,5","44,439","66,647","77,206","93,374"
"2735,66","20,342","29,27","44,352","66,689","77,262","93,355"
"2772,76","20,068","26,096","42,139","66,553","77,516","92,933"
"2782,79","19,883","25,267","41,469","66,286","77,344","92,747"
"2801,23","19,247","23,944","40,36","65,34","76,48","92,28"
"2803,28","19,143","23,815","40,249","65,181","76,328","92,212"
"2816,67","18,285","23,069","39,585","63,748","75,066","91,63"
"2834,93","16,786","22,326","38,856","60,527","72,824","89,954"
"2836,07","16,673","22,291","38,818","60,279","72,674","89,768"
"2838,11","16,46","22,23","38,75","59,824","72,404","89,378"
"2849,2","14,849","21,961","38,422","57,454","71,005","84,317"
"2850,41","14,54","21,938","38,39","57,261","70,869","83,849"
"2852,46","13,782","21,9","38,338","57,006","70,655","84,066"
"2854,51","12,465","21,865","38,287","56,862","70,467","84,533"
"2857,33","12,051","21,822","38,22","56,848","70,27","85,094"
"2870,9","13,522","21,678","37,947","58,461","70,665","85,931"
"2879,1","14,079","21,637","37,818","59,077","71,027","85,521"
"2880,1","14,084","21,634","37,804","59,089","71,019","85,448"
"2881,15","14,066","21,632","37,789","59,088","71,001","85,368"
"2901,25","10,713","21,668","37,592","57,285","69,835","83,379"
"2922,13","9,142","21,851","37,541","54,198","68,46","81,121"
"2941,91","9,057","22,132","37,645","53,464","67,758","80,679"
"2944,67","9,12","22,178","37,672","53,555","67,728","80,767"
"2946,72","9,178","22,213","37,694","53,608","67,719","80,799"
"2971,31","10,481","22,692","38,118","54,346","68,938","81,048"
"2975,41","10,819","22,778","38,22","54,756","69,54","81,679"
"2979,51","11,209","22,864","38,333","55,84","70,294","83,654"
"2985,66","11,955","22,992","38,524","59,483","71,616","87,912"
"2985,82","11,98","22,996","38,53","59,539","71,653","87,977"
"2989,75","12,723","23,076","38,668","60,606","72,523","89,13"
"3002,09","15,732","23,359","39,189","62,707","74,798","90,76"
"3004,1","15,973","23,432","39,289","62,964","75,081","90,921"
"3010,25","16,562","24,305","39,626","63,652","75,795","91,319"
"3012,3","16,726","24,701","39,749","63,851","75,988","91,427"
"3018,44","17,154","25,756","40,153","64,369","76,45","91,696"
"3032,79","17,914","27,947","41,316","65,155","77,091","92,092"
"3038,93","18,171","28,791","41,919","65,358","77,254","92,198"
"3059,55","18,838","31,047","44,447","65,748","77,574","92,3"
"3067,62","19,037","32,087","45,632","65,844","77,646","92,331"
"3070,4","19,099","32,435","46,054","65,874","77,667","92,344"
"3079,92","19,288","33,396","47,494","65,968","77,728","92,394"
"3080,2","19,293","33,418","47,534","65,971","77,73","92,396"
"3088,11","19,429","33,916","48,58","66,044","77,772","92,444"
"3116,35","19,803","34,779","50,116","66,282","77,894","92,647"
"3133,2","19,974","35,075","49,939","66,406","77,966","92,794"
"3137,3","20,011","35,133","49,918","66,434","77,984","92,833"
"3149,59","20,116","35,271","50,141","66,511","78,042","92,967"
"3163,93","20,228","35,339","50,419","66,588","78,112","93,168"
"3167,98","20,258","35,332","50,464","66,606","78,132","93,233"
"3192,62","20,431","35,078","50,632","66,683","78,254","93,553"
"3205,39","20,517","35,13","50,71","66,689","78,315","93,628"
3208,"20,535","35,178","50,728","66,687","78,327","93,638"
"3220,03","20,617","35,529","50,824","66,67","78,382","93,668"
"3233,61","20,71","36,018","50,976","66,641","78,439","93,682"
"3264,8","20,911","36,892","51,523","66,64","78,547","93,677"
"3286,89","21,021","37,081","51,899","66,758","78,596","93,656"
"3307,38","21,08","37,027","52,094","66,947","78,614","93,631"
"3314,36","21,087","36,973","52,117","67,016","78,612","93,622"
"3330,64","21,068","36,787","52,093","67,165","78,587","93,602"
"3374,53","20,583","36,229","51,504","67,261","78,28","93,572"
"3379,1","20,463","36,2","51,384","67,215","78,212","93,574"
"3382,67","20,354","36,179","51,279","67,166","78,149","93,577"
"3391,39","20,006","36,137","50,967","66,981","77,957","93,596"
"3399,59","19,547","36,106","50,572","66,672","77,709","93,622"
"3411,95","18,475","36,079","49,768","65,654","77,128","92,536"
"3426,23","16,051","36,081","48,942","61,783","75,432","88,967"
"3426,58","15,979","36,082","48,936","61,759","75,336","88,973"
"3428,21","15,709","36,085","48,929","61,76","74,897","89,024"
"3430,33","15,599","36,09","48,962","61,913","74,683","89,129"
"3447,73","18,061","36,204","50,216","64,456","75,634","90,625"
"3449,4","18,243","36,225","50,35","64,694","75,751","90,788"
"3452,87","18,567","36,283","50,613","65,147","75,991","91,125"
"3479,51","19,732","37,161","51,924","66,308","77,405","93,19"
"3487,7","19,778","37,299","52,11","66,187","77,591","93,451"
"3488,39","19,776","37,308","52,123","66,173","77,601","93,463"
"3490,71","19,762","37,334","52,161","66,126","77,629","93,493"
"3534,84","18,949","37,453","52,303","65,305","77,433","92,466"
"3535,56","18,946","37,452","52,299","65,303","77,428","92,451"
"3536,89","18,943","37,449","52,29","65,303","77,421","92,427"
"3563,52","19,192","37,322","51,967","65,821","77,4","92,445"
"3569,67","19,313","37,267","51,839","65,951","77,434","92,526"
"3575,82","19,455","37,193","51,666","66,022","77,48","92,607"
"3579,78","19,56","37,127","51,508","66,032","77,515","92,653"
"3584,35","19,707","37,012","51,227","66,02","77,559","92,693"
"3586,07","19,508","36,947","51,082","66,01","77,577","92,704"
"3594,26","19,295","36,251","50,716","65,943","77,67","92,715"
"3604,31","19,14","36,066","50,651","65,846","77,799","92,671"
"3629,1","19,122","35,988","50,713","65,778","78,161","92,631"
"3629,89","19,132","35,988","50,717","65,784","78,173","92,638"
"3635,25","19,222","35,988","50,744","65,833","78,257","92,701"
"3657,79","19,93","36,015","50,873","66,235","78,618","93,269"
"3680,31","20,719","36,065",51,"66,744","78,967","93,956"
"3688,52","20,897","36,087","51,045","66,897","79,08","94,141"
"3694,67","20,987","36,104","51,078","66,981","79,156","94,228"
"3731,56","21,102","36,216","51,27","66,916","79,184","93,937"
"3733,61","21,099","36,223","51,28","66,895","79,141","93,898"
"3733,98","21,098","36,224","51,282","66,891","79,132","93,891"
"3737,23","21,093","36,234","51,299","66,857","79,039","93,829"
"3745,9","21,084","36,262","51,344","66,779","78,673","93,677"
