x,PBS,PBA,PBS79/A21,PBS59/A41,PBS50/A50,PBS39/A61,PBS21/A79
"1152,38","74,499","7,019","63,152","52,699","41,64","29,244","17,688"
1153,"74,542","6,693","63,178","52,736","41,672","29,317","17,645"
"1153,5","74,586","6,391","63,218","52,771","41,723","29,386","17,618"
"1156,29","74,947","4,678","63,764","53,063","42,307","29,927","17,607"
"1157,85","75,228","4,236","64,295","53,28","42,767","30,326","17,713"
"1159,47","75,571","4,133","65,001","53,538","43,3","30,795","17,913"
"1169,08","78,617","6,122","70,531","55,649","46,737","34,251","20,689"
"1171,01","79,44","6,754","71,053","56,186","47,288","35,016","21,532"
"1174,42","81,122","8,001","71,065","57,238","47,842","36,379","23,278"
"1177,5","83,058","9,287","70,852","58,342","47,841","37,606","25,487"
"1178,94","84,308","9,96","71,185","58,936","47,777","38,176","26,835"
"1179,15","84,518","10,058","71,281","59,024","47,775","38,255","26,978"
"1179,8","85,3","10,38","71,681","59,318","47,794","38,507","27,379"
"1180,42","86,321","10,705","72,188","59,62","47,867","38,749","27,711"
"1180,88","87,456","10,95","72,619","59,855","47,965","38,923","27,932"
"1183,72","90,098","12,693","75,654","61,773","49,46","39,983","29,061"
"1187,15","90,119","15,518","78,042","65,678","52,166","41,171","30,066"
"1187,19","90,117","15,561","78,06","65,701","52,196","41,185","30,077"
"1187,2","90,116","15,572","78,064","65,707","52,204","41,189","30,08"
"1188,01","90,074","16,382","78,327","66,001","52,674","41,45","30,273"
"1189,26","89,995","17,6","78,575","66,195","53,08","41,831","30,538"
"1191,53","89,818","19,146","78,714","66,265","53,343","42,46","30,943"
"1196,2","89,41","20,078","78,388","66,066","53,568","43,392","31,536"
"1196,34","89,397","20,084","78,372","66,057","53,575","43,413","31,551"
"1201,19","89,023","20,071","77,949","65,803","53,828","43,809","31,968"
"1201,69","88,994","20,062","77,936","65,785","53,856","43,817","32,004"
"1204,74","88,899","20,025","78,057","65,75","54,031","43,737","32,205"
"1205,42","88,909","20,023","78,125","65,765","54,071","43,692","32,244"
"1210,81","90,159","20,147","78,907","66,213","54,402","43,105","32,485"
"1213,72","91,43","20,314","79,303","66,669","54,59","42,852","32,555"
"1214,77","91,684","20,38","79,418","66,863","54,66","42,841","32,569"
"1215,59","91,817","20,428","79,493","67,02","54,716","42,868","32,575"
"1218,98","92,047","20,586","79,715","67,671","54,953","43,227","32,555"
"1220,5","92,062","20,62","79,775","67,888","55,065","43,435","32,519"
"1226,58","91,895","20,389","79,842","67,815","55,533","43,722","32,18"
"1228,85","91,782","20,112","79,801","67,626","55,647","43,496","31,954"
"1230,93","91,666","19,745","79,729","67,443","55,644","43,146","31,693"
"1231,82","91,615","19,554","79,687","67,365","55,599","42,968","31,565"
"1233,59","91,51","19,102","79,575","67,211","55,428","42,578","31,278"
"1233,79","91,499","19,046","79,56","67,194","55,403","42,533","31,243"
"1238,89","91,203","17,25","79,102","66,773","54,544","41,296","30,126"
"1242,42","91,03","15,734","78,938","66,513","53,9","40,465","29,027"
"1246,27","90,898","13,957","78,977","66,269","53,337","39,69","27,219"
